# Epoch TotalLoss PDELoss RobinBoundaryLoss PetviashviliScaleLoss PetviashviliS N K M IdentityError LearningRate EpochSeconds
2.400000000000000000e+01 2.409536971356699709e+06 2.409536929664663970e+06 4.169203566136186340e-03 0.000000000000000000e+00 3.010745409858542644e+03 4.513203123894632962e-01 8.315368364273396651e+00 1.530851622137669680e-03 4.607473642904023947e+00 1.000000000000000021e-03 3.928940003970637918e-02
2.500000000000000000e+01 1.222897188145722430e+04 1.222887759825172725e+04 9.428320549642816087e-03 0.000000000000000000e+00 1.389577761550647665e+03 1.013041186305586816e+00 1.961274458149560473e+01 7.786115880970603462e-03 1.081162736117241963e+01 1.000000000000000021e-03 5.480839998926967382e-02
2.600000000000000000e+01 4.069235006267549396e+08 4.069235005246838331e+08 1.020711343016389612e-02 0.000000000000000000e+00 1.272324214214871063e+03 1.089649955667319814e+00 2.070073479789689941e+01 8.991432550605759494e-03 1.143102592206516377e+01 1.000000000000000021e-03 2.973280003061518073e-02
2.700000000000000000e+01 4.272784928609414783e+04 4.272778006323091540e+04 6.922286323302892855e-03 0.000000000000000000e+00 1.770975096745145038e+03 7.356777378170810122e-01 1.292409705251736618e+01 4.064272997008252716e-03 7.193661991078755591e+00 1.000000000000000021e-03 4.074199998285621405e-02
2.800000000000000000e+01 1.944162845003996335e+05 1.944162593070235453e+05 2.519337609568896626e-03 0.000000000000000000e+00 3.744671719792227577e+03 2.731925614902881438e-01 3.598406559183469078e+00 5.534252388874766077e-04 2.071842415843135221e+00 1.000000000000000021e-03 3.501200000755488873e-02
2.900000000000000000e+01 1.854221060816937779e+03 1.854220625725823993e+03 4.350911138128813729e-05 0.000000000000000000e+00 2.517714535988937496e+04 2.648092598211449974e-02 1.042007912866118741e-01 3.121137066834460919e-06 7.857820048835360838e-02 1.000000000000000021e-03 2.945080003701150417e-02
3.000000000000000000e+01 1.798631399555822838e+02 1.798619881459113117e+02 1.151809670964992283e-04 0.000000000000000000e+00 2.807370507689877923e+04 4.492887489233041848e-02 1.527938095340075630e+00 2.881336540155358884e-05 8.088691091969667513e-01 1.000000000000000021e-03 3.335340000921860337e-02
3.100000000000000000e+01 3.422410935555867439e+01 3.422381743452456959e+01 2.919210341077820885e-05 0.000000000000000000e+00 2.983306850302803286e+04 3.955393367295274160e-02 1.140557116932716442e+00 2.044149404446241378e-05 6.098120506452665568e-01 1.000000000000000021e-03 3.076059999875724316e-02
3.200000000000000000e+01 9.126323675886270692e+00 9.121985533299183047e+00 4.338142587087288958e-04 0.000000000000000000e+00 3.008384341733968085e+03 6.504018836163454054e-02 2.179595123153521899e-02 2.524217498518325104e-05 7.591292180241696053e-02 1.000000000000000021e-03 2.902089996496215463e-02
3.300000000000000000e+01 1.782070135401652067e+01 1.781458227408687733e+01 6.119079929641588894e-04 0.000000000000000000e+00 2.821169057669256745e+03 7.940524373234775224e-02 7.230137453917671875e-02 4.096030001717714528e-05 1.155149707019189342e-01 1.000000000000000021e-03 3.289279999444261193e-02
3.400000000000000000e+01 2.155059499531639062e+02 2.155053827288073762e+02 5.672243565416792261e-05 0.000000000000000000e+00 2.581390280989749590e+04 3.889258322673846968e-02 3.334191042495854851e-01 7.964783041910577526e-06 2.055941705684893039e-01 1.000000000000000021e-03 2.837590000126510859e-02
3.500000000000000000e+01 2.003863320282884164e+00 2.002313503723352817e+00 1.549816559531362354e-04 0.000000000000000000e+00 1.300842763163377276e+04 4.432924377592153270e-02 1.382725807448298150e-01 8.722463418216937835e-06 1.134568116849182240e-01 1.000000000000000021e-03 2.900260000023990870e-02
3.600000000000000000e+01 3.760379620760591934e+03 3.760365222252617968e+03 1.439850797397213044e-03 0.000000000000000000e+00 3.030158688755560433e+03 1.441882190342038128e-01 6.658919652903618758e-01 1.574617868857104697e-04 4.769767398924990576e-01 1.000000000000000021e-03 3.208979999180883169e-02
3.700000000000000000e+01 1.945623530514527886e+02 1.945472920739906044e+02 1.506097746219386057e-03 0.000000000000000000e+00 3.077059088265506034e+03 1.484069900714204415e-01 7.371230298495065059e-01 1.680073375798896802e-04 5.168004976585938159e-01 1.000000000000000021e-03 3.291409998200833797e-02
3.800000000000000000e+01 1.907918699789792072e+02 1.907884856871318391e+02 3.384291847361087431e-04 0.000000000000000000e+00 4.096978853329654157e+03 5.419311291395366437e-02 1.877824264651307626e-02 1.551929763675167579e-05 6.356671493957344321e-02 1.000000000000000021e-03 3.431370004545897245e-02
3.900000000000000000e+01 7.966008899518227382e-03 3.932908477840279214e-03 4.033100421677948493e-04 0.000000000000000000e+00 3.421826086888583177e+03 5.716482555251596598e-02 1.374776962835796632e-02 1.871477647894274551e-05 6.401999559021601116e-02 1.000000000000000021e-03 3.289000003132969141e-02
4.000000000000000000e+01 9.194890528857129652e+00 9.194822251343982344e+00 6.827751314812543756e-06 0.000000000000000000e+00 3.547762922020432597e+04 3.171742293272495489e-02 5.639781066233680029e-01 8.842374282943267665e-06 3.136976338701260025e-01 1.000000000000000021e-03 3.013059997465461493e-02
