# Epoch N K M S IdentityError FDM_N FDM_K FDM_M FDM_S FDM_IdentityError
3.300000000000000000e+01 7.940524373234775224e-02 7.230137453917671875e-02 4.096030001717714528e-05 2.821169057669256745e+03 1.155149707019189342e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.400000000000000000e+01 3.889258322673846968e-02 3.334191042495854851e-01 7.964783041910577526e-06 2.581390280989749590e+04 2.055941705684893039e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.500000000000000000e+01 4.432924377592153270e-02 1.382725807448298150e-01 8.722463418216937835e-06 1.300842763163377276e+04 1.134568116849182240e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.600000000000000000e+01 1.441882190342038128e-01 6.658919652903618758e-01 1.574617868857104697e-04 3.030158688755560433e+03 4.769767398924990576e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.700000000000000000e+01 1.484069900714204415e-01 7.371230298495065059e-01 1.680073375798896802e-04 3.077059088265506034e+03 5.168004976585938159e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.800000000000000000e+01 5.419311291395366437e-02 1.877824264651307626e-02 1.551929763675167579e-05 4.096978853329654157e+03 6.356671493957344321e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.900000000000000000e+01 5.716482555251596598e-02 1.374776962835796632e-02 1.871477647894274551e-05 3.421826086888583177e+03 6.401999559021601116e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.000000000000000000e+01 3.171742293272495489e-02 5.639781066233680029e-01 8.842374282943267665e-06 3.547762922020432597e+04 3.136976338701260025e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.100000000000000000e+01 2.781668249384326372e-02 3.983346781326105313e-01 5.690942800647245241e-06 3.988513494204805465e+04 2.269783306173478732e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.200000000000000000e+01 5.485552581399056465e-02 7.939775884602967571e-02 2.063540579817416511e-05 4.582144211787402128e+03 9.453376983120723165e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.300000000000000000e+01 4.849901175370229661e-02 6.997419785788576430e-02 1.613548078146296490e-05 5.174070225252179625e+03 8.346997520186372199e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.400000000000000000e+01 1.948745941097459675e-02 2.784136002440414925e-01 2.811602797087944240e-06 5.644263111589824985e+04 1.586914479301982650e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.500000000000000000e+01 1.660313006138137634e-02 2.306728824402863032e-01 2.004571371079753082e-06 6.581934331220197782e+04 1.319375667101534422e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.600000000000000000e+01 3.269741233962680793e-02 6.875671649887994674e-02 7.616747019701766639e-06 8.806354000416535200e+03 6.706815384204707631e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.700000000000000000e+01 2.600776299053885951e-02 4.322591113488469944e-02 4.707049497083632090e-06 1.011689352007863818e+04 4.761601150848412956e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.800000000000000000e+01 1.121396396067876264e-02 2.502085645117489432e-01 1.396305669536958961e-06 9.762779681334472843e+04 1.363168499108836917e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.900000000000000000e+01 9.372476006666701290e-03 2.318134567824798598e-01 1.076756807632022236e-06 1.163486531815694470e+05 1.252781276410989963e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
5.000000000000000000e+01 1.199142328356852215e-02 1.703090678319096191e-02 9.813598720139884909e-07 2.089638801761782452e+04 2.050589531529199011e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
5.100000000000000000e+01 8.390576365285324842e-03 6.261533674062382850e-03 4.499930501208110594e-07 2.560338030451415034e+04 1.152089320926639494e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
5.200000000000000000e+01 7.993809423970713729e-03 2.743125857042577609e-01 9.672109589068700787e-07 1.500707791884658218e+05 1.451491350651406831e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
5.300000000000000000e+01 7.226943039831193460e-03 2.556577223682666156e-01 7.639611809623026025e-07 1.767835952274320589e+05 1.350550402627835322e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
5.400000000000000000e+01 2.082623725656502361e-03 6.683242260026985232e-04 2.465817571184937180e-08 9.801154169460892444e+04 2.416761180482139559e-03 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
5.500000000000000000e+01 1.129009804500854652e-03 9.418708551593092844e-04 6.003938111252977114e-09 2.664826224492150941e+05 1.599939228142398077e-03 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
5.600000000000000000e+01 8.719201682338766426e-03 1.804002440666327423e-01 6.111965078842153662e-07 1.618453679032757937e+05 9.891871251914724494e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
5.700000000000000000e+01 5.538291448130356481e-03 1.210470841785463159e-01 2.484177676542031406e-07 2.659303885634822655e+05 6.606158511963586277e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
5.800000000000000000e+01 8.887588033892505424e-04 2.852287692712160427e-02 1.054692690529009789e-08 1.436456048670797609e+06 1.515018672002314826e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
5.900000000000000000e+01 1.044035748859722078e-03 3.048990643401843642e-02 1.094205619601136092e-08 1.488658835553961108e+06 1.628897802381274601e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
6.000000000000000000e+01 1.687327603454133202e-03 6.338475665232914946e-02 3.057585224639355408e-08 1.091701562992391642e+06 3.337967535376646505e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
6.100000000000000000e+01 1.022163433232157592e-03 4.356375195535286404e-02 1.362809916695980554e-08 1.673310324498192640e+06 2.280402578280942352e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
6.200000000000000000e+01 2.588739377957007762e-03 5.722874477289820183e-02 5.305917915307634976e-08 5.880813109415901126e+05 3.120305870522695549e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
6.300000000000000000e+01 2.716489287165609317e-03 5.043610767326960065e-02 5.697518702518051177e-08 4.902931341425458086e+05 2.793448614861338344e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
6.400000000000000000e+01 1.036637350876388249e-03 3.746294115238545802e-02 1.549753726305591415e-08 1.275564453131625894e+06 1.976809242953185206e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
6.500000000000000000e+01 9.503069225522904661e-04 2.821010305984881367e-02 1.059269250630097606e-08 1.421296627644944238e+06 1.505534785978419193e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
6.600000000000000000e+01 3.702042949493414021e-03 6.175750156532829049e-02 1.063308926391616450e-07 3.252186904637007392e+05 3.458068740126492291e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
6.700000000000000000e+01 3.522653497031065332e-03 5.137172942290455652e-02 9.660945175534035674e-08 3.023360303846945171e+05 2.920842159903158999e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
6.800000000000000000e+01 1.394020387581352584e-03 3.343324330486343449e-02 1.871607310956298753e-08 9.676517995592550142e+05 1.811062332393996097e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
6.900000000000000000e+01 1.279480372133440756e-03 2.594905460067634465e-02 1.326807491754024327e-08 1.074308633506699698e+06 1.425399440439669568e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
7.000000000000000000e+01 3.780474379222629241e-03 5.829205664226493749e-02 1.116735593231378148e-07 2.948460032478255453e+05 3.292639102679577323e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
7.100000000000000000e+01 3.406384651196667050e-03 4.883011173115895526e-02 9.091892512816625028e-08 3.060027426590301329e+05 2.782134959785101738e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
7.200000000000000000e+01 1.309422566717244503e-03 2.997803404188424323e-02 1.586582522255542706e-08 1.027267042901103850e+06 1.629842372183414392e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
7.300000000000000000e+01 1.095119642315300424e-03 2.261703440542366106e-02 9.935241971029799329e-09 1.248448362302972237e+06 1.240362690978515960e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
7.400000000000000000e+01 3.205075936773518069e-03 5.677149757821284282e-02 8.057507596895411459e-08 3.920669544388100621e+05 3.159074415080397047e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
7.500000000000000000e+01 2.755495050647380120e-03 4.868106537203800710e-02 5.958946556653466259e-08 4.547117074820214766e+05 2.709596814720081556e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
7.600000000000000000e+01 8.405565019685213354e-04 2.347683236181261415e-02 8.008446221395413268e-09 1.570713217815008247e+06 1.257896467442860648e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
7.700000000000000000e+01 6.292380151403691646e-04 1.687316575935675356e-02 4.243594025608260507e-09 2.136354318001315929e+06 9.065816651224720829e-03 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
7.800000000000000000e+01 2.521246719198138100e-03 5.798646344170594463e-02 5.137534868560432312e-08 6.134163389663936105e+05 3.151442706470242161e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
7.900000000000000000e+01 2.112578206655806989e-03 5.041766411247268487e-02 3.645006469505159176e-08 7.495572456464287825e+05 2.732137381282745414e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
8.000000000000000000e+01 4.303079458417711145e-04 1.692009913736544635e-02 2.937519345191523624e-09 3.026484525816897862e+06 8.890354577005148140e-03 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
8.100000000000000000e+01 2.866137983712295479e-04 1.171134379490383799e-02 1.339631014794478424e-09 4.585057086542809382e+06 6.142284356192133539e-03 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
8.200000000000000000e+01 2.019667885253461845e-03 5.918145315076950297e-02 3.719096716886412908e-08 8.499481642514445120e+05 3.161035726967104109e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
8.300000000000000000e+01 1.692172787038497992e-03 5.143407631361662097e-02 2.708431382549066275e-08 1.011995758716330049e+06 2.740918385953298314e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
8.400000000000000000e+01 2.816475978758835623e-04 1.263595736631440564e-02 1.161001889537688513e-09 5.684422289326125756e+06 6.599625120031197244e-03 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
8.500000000000000000e+01 1.946638975421574613e-04 8.652223970339807321e-03 5.117658830224777693e-10 8.833675849086320028e+06 4.520775370946177735e-03 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
8.600000000000000000e+01 1.724954641290420837e-03 5.840074825877327597e-02 3.238824713019147984e-08 9.548318077959218062e+05 3.092529638242992943e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
8.700000000000000000e+01 1.462781164517169222e-03 5.041797092823965820e-02 2.424937622012644095e-08 1.099894947494537570e+06 2.667174237926078079e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
8.800000000000000000e+01 3.076872733820122966e-04 1.049533200623886837e-02 8.984217895305322964e-10 6.183456332243746147e+06 5.555352378079657372e-03 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
8.900000000000000000e+01 2.393037748743826311e-04 7.236397716137628680e-03 4.968986023247644131e-10 7.763155080591870472e+06 3.857502136044594927e-03 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
9.000000000000000000e+01 1.553959540700031129e-03 5.577403618199211488e-02 2.984230651980250227e-08 9.865516726430451963e+05 2.944094778938956963e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
9.100000000000000000e+01 1.330114209729443310e-03 4.790042592236921914e-02 2.237006131102833505e-08 1.130096452061092481e+06 2.528030480085274173e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
