# Epoch TotalLoss PDELoss RobinBoundaryLoss PetviashviliScaleLoss PetviashviliS N K M IdentityError LearningRate EpochSeconds
5.200000000000000000e+01 7.025891868404779816e+05 7.025891868120809086e+05 2.839712302479869623e-06 0.000000000000000000e+00 5.891531208380285534e+04 1.895708720511155715e-02 5.193145239723877538e-01 4.729065150022704893e-06 2.786096201261554217e-01 1.000000000000000021e-03 1.054260000819340348e-02
5.300000000000000000e+01 7.909437621920573314e+00 7.906130383040754772e+00 3.307238879818629514e-04 0.000000000000000000e+00 6.040615268372739592e+03 3.934288593923442739e-02 5.015295264160791328e-02 1.066437099478623244e-05 6.440869788904360349e-02 1.000000000000000021e-03 1.022989999910350889e-02
5.400000000000000000e+01 1.495359096122792153e+03 1.495352187158044671e+03 6.908964747589981534e-04 0.000000000000000000e+00 6.419852831556173442e+03 7.045475924245547805e-02 3.481611717320038379e-01 3.809049078275466953e-05 2.444972546176746309e-01 1.000000000000000021e-03 1.076750000356696546e-02
5.500000000000000000e+01 2.696495520622946618e+00 2.690715715102983019e+00 5.779805519963520212e-04 0.000000000000000000e+00 6.430084235068530688e+03 6.061283954432986065e-02 2.359014614456047265e-01 2.777002038198047643e-05 1.785358002467502536e-01 1.000000000000000021e-03 9.899699987727217376e-03
5.600000000000000000e+01 5.987619878123742865e+02 5.987603628969449119e+02 1.624915429361335924e-04 0.000000000000000000e+00 8.249264949825106669e+03 2.605852270371182902e-02 8.847095803190546323e-03 3.695125661362307555e-06 3.047837547964574179e-02 1.000000000000000021e-03 1.077059999806806445e-02
5.700000000000000000e+01 1.023992222503744998e+00 1.022586203315938080e+00 1.406019187806869933e-04 0.000000000000000000e+00 1.023928695882215470e+04 2.431832338206949690e-02 1.402501508046693525e-02 3.059864524358777935e-06 3.132777105777860560e-02 1.000000000000000021e-03 9.400400012964382768e-03
5.800000000000000000e+01 9.601345657143928847e+00 9.597308448227085620e+00 4.037208916843878300e-04 0.000000000000000000e+00 6.317947046053164740e+03 4.539743026303478396e-02 9.691587384154011497e-02 1.485535831469711773e-05 9.384051182549013603e-02 1.000000000000000021e-03 1.048499999160412699e-02
5.900000000000000000e+01 1.395198365668449700e+08 1.395198365634349585e+08 3.410005303886637015e-04 0.000000000000000000e+00 6.141086474677220394e+03 4.011198650053961201e-02 5.738661688375708975e-02 1.120409152757794613e-05 6.879409085089058240e-02 1.000000000000000021e-03 9.424699994269758463e-03
6.000000000000000000e+01 6.228922172605452090e+01 6.228855530790336559e+01 6.664181511531004816e-05 0.000000000000000000e+00 3.393419485520272428e+04 1.907728258576038213e-02 7.174447829970555246e-02 1.619296463715964428e-06 5.494790243914944583e-02 1.000000000000000021e-03 1.113090000580996275e-02
6.100000000000000000e+01 4.338056274999040340e+00 4.337458489424744990e+00 5.977855742955411050e-05 0.000000000000000000e+00 3.849682408202612714e+04 1.850937102822404826e-02 8.080859684910203511e-02 1.530351421163944771e-06 5.891213910135389975e-02 1.000000000000000021e-03 1.309829999809153378e-02
6.200000000000000000e+01 3.477554572539776245e+02 3.477528932406210629e+02 2.564013356540326312e-04 0.000000000000000000e+00 6.147085473616773015e+03 3.283950290235963104e-02 2.043101727795025579e-02 7.004134190871673272e-06 4.304800740714388729e-02 1.000000000000000021e-03 1.206779999483842403e-02
6.300000000000000000e+01 3.879928861562389919e+00 3.877740932591431378e+00 2.187928970958530762e-04 0.000000000000000000e+00 6.373891934062348810e+03 2.978144127633935989e-02 1.029191611279605539e-02 5.479760198736442067e-06 3.492191957253865109e-02 1.000000000000000021e-03 1.010600000154227018e-02
6.400000000000000000e+01 6.071821762722728636e+03 6.071821495921962196e+03 2.668007668527207690e-05 0.000000000000000000e+00 6.445660315428669855e+04 1.652680700322504970e-02 1.566177725353000150e-01 1.471310751973062273e-06 9.483422196012308847e-02 1.000000000000000021e-03 1.015680001000873744e-02
6.500000000000000000e+01 3.861635415503828881e+03 3.861635163209493840e+03 2.522943349696004384e-05 0.000000000000000000e+00 6.600318351590208476e+04 1.630922684267968603e-02 1.594230838334275424e-01 1.454789960572183706e-06 9.601931396943289010e-02 1.000000000000000021e-03 1.019349999842233956e-02
6.600000000000000000e+01 3.998975791416528924e+00 3.997210320285724983e+00 1.765471130804044039e-04 0.000000000000000000e+00 7.410604895100999784e+03 2.612802235464237871e-02 6.185882460443512497e-03 3.943127989799595909e-06 2.921702045687433677e-02 1.000000000000000021e-03 1.000789999670814723e-02
6.700000000000000000e+01 2.127106615516119291e+03 2.127098180755136582e+03 8.434760982825715474e-04 0.000000000000000000e+00 6.773531869295448814e+03 8.287027301860451500e-02 5.581958876366314160e-01 5.343862313193285899e-05 3.619147782137882574e-01 1.000000000000000021e-03 1.083379999909084290e-02
6.800000000000000000e+01 7.140462328125377667e+01 7.139252052648195956e+01 1.210275477181681561e-03 0.000000000000000000e+00 6.028025494344041363e+03 1.159231012244221759e-01 1.033494592548353852e+00 1.049548310787472283e-04 6.325654426675203501e-01 1.000000000000000021e-03 1.138530000753235072e-02
6.900000000000000000e+01 2.548017663197206062e+01 2.547018252627364632e+01 9.994105698415320892e-04 0.000000000000000000e+00 6.465676682208925740e+03 9.686061728800590687e-02 7.530642597410608374e-01 7.321627270038057222e-05 4.733195308858358930e-01 1.000000000000000021e-03 9.699999995063990355e-03
