# Epoch N K M S IdentityError FDM_N FDM_K FDM_M FDM_S FDM_IdentityError
3.200000000000000000e+01 4.982848668818689458e-02 5.836349320980317029e-02 1.685683878880548831e-05 4.687132283932020073e+03 7.899337645429967136e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.300000000000000000e+01 3.057031310947040323e-02 1.018950335911983363e+00 1.420138279064781729e-05 3.802766878537067532e+04 5.400312796826715056e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.400000000000000000e+01 6.554198039376211982e-02 2.283369025806622599e+00 5.508570474444038215e-05 2.191542250195226006e+04 1.207171407592328771e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.500000000000000000e+01 5.429966539406505532e-02 1.915427949561511856e+00 3.978437652543285932e-05 2.543746386278606951e+04 1.011973855798295574e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.600000000000000000e+01 2.060897061619582082e-02 5.092964689846146698e-01 5.151911468433771771e-06 5.342817064756751643e+04 2.752520531970347184e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.700000000000000000e+01 6.438244334555548454e-02 1.980477872832639707e-01 3.065231649606974651e-05 5.330962082652245954e+03 1.633756846706914123e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.800000000000000000e+01 1.186764000489219650e-01 8.176174321410674128e-01 1.091227077600886308e-04 4.833871216594835460e+03 5.273759934116956094e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
3.900000000000000000e+01 1.019000088053664821e-01 6.005460023786499679e-01 8.005237726935042931e-05 5.023873415281515918e+03 4.020929576174221420e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.000000000000000000e+01 4.063608499459453460e-02 2.329219684832649698e-02 1.058705436670444732e-05 4.938312547263863962e+03 5.227159636439107637e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.100000000000000000e+01 2.832574719328396703e-02 9.443165009619874928e-01 1.223423941882730825e-05 4.090846848190643504e+04 5.004717634348588851e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.200000000000000000e+01 5.684872079458398730e-02 2.016190049325088385e+00 4.297806132429031218e-05 2.477877579019000768e+04 1.064900767395803971e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.300000000000000000e+01 4.791092709050810000e-02 1.713310159568487645e+00 3.190067462117182184e-05 2.835570148940091167e+04 9.045341062001307497e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.400000000000000000e+01 1.970826076643178090e-02 5.071680822323381133e-01 4.861941050650727585e-06 5.621053382240038627e+04 2.732874399415501920e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.500000000000000000e+01 5.066694207979383774e-02 1.071323942974796301e-01 1.844402647136668557e-05 5.651322361150093457e+03 1.042146952020622797e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.600000000000000000e+01 9.185737880321644122e-02 5.416161930762471988e-01 6.517798479364268652e-05 5.564232715821524835e+03 3.626002973565463638e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.700000000000000000e+01 7.883101885841359291e-02 3.834916263695600236e-01 4.755676340244713611e-05 5.689555232179806808e+03 2.705292752797911482e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.800000000000000000e+01 3.253289556840702895e-02 8.302053998864033363e-03 6.288670422823006109e-06 5.833335204435192281e+03 3.667763389741622582e-02 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
4.900000000000000000e+01 2.697556131593606410e-02 9.123446858788698544e-01 1.114592125794344881e-05 4.334750740333978320e+04 4.831367583341130700e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
5.000000000000000000e+01 5.139794325796430419e-02 1.847807091820256487e+00 3.585881912091055994e-05 2.719837164390391627e+04 9.752656303489716239e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
