# Epoch N K M S IdentityError FDM_N FDM_K FDM_M FDM_S FDM_IdentityError
5.900000000000000000e+01 1.340140485331731413e-01 2.242242229546718590e+00 1.742107311730235763e-04 7.204694882190412500e+03 1.254960952575359334e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
6.000000000000000000e+01 1.120775475229755652e-01 1.047676185347378164e+00 8.668729719855857449e-05 7.335741922354106464e+03 6.358289528994661710e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
6.100000000000000000e+01 1.100749289944579490e-01 3.928825040028351423e-01 9.409942038106977938e-05 3.257365239380527328e+03 3.064220815754944427e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
6.200000000000000000e+01 9.102418622244534685e-02 2.084591393762897094e-01 5.601921096436694074e-05 3.485478509042452060e+03 1.951977366996258401e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
6.300000000000000000e+01 1.150060967324161576e-01 2.178254001776424031e-01 1.224271578890113120e-04 1.828996120483570394e+03 2.237963696633483435e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
6.400000000000000000e+01 1.663352884009622334e-01 5.716798561793968725e-01 2.611099327086954173e-04 1.731742687072500985e+03 4.519141065579520000e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
6.500000000000000000e+01 2.348357154652983836e-01 1.098118521320327723e+00 5.325698842180328751e-04 1.471910071062543693e+03 7.833624062412442024e-01 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
6.600000000000000000e+01 3.125067696491427571e-01 1.569122850636049726e+00 9.860668186517809828e-04 1.112569832201542340e+03 1.096082128148515800e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
6.700000000000000000e+01 3.937930176240182489e-01 2.179838748231257117e+00 1.636271031697768014e-03 9.067644436630830569e+02 1.482076120707949141e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
6.800000000000000000e+01 4.693981390697371525e-01 2.830031953635773867e+00 2.405980574697966570e-03 7.832208354899162259e+02 1.882008135312926100e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
6.900000000000000000e+01 4.718803516246427021e-01 2.844958451007382649e+00 2.538397908757836739e-03 7.462815701952622476e+02 1.891821179219576265e+00 9.627559922189476538e+01 1.921718228039618168e+02 1.929727507636545738e+02 9.968325054321918177e-01 6.112401397789000157e-01
